image_id,path,reason
100_1_0_20170110183726390.jpg.chip.jpg,data\aligned\100_1_0_20170110183726390.jpg.chip.jpg,watermark
100_1_0_20170112215032192.jpg.chip.jpg,data\aligned\100_1_0_20170112215032192.jpg.chip.jpg,blur
100_1_0_20170117195420803.jpg.chip.jpg,data\aligned\100_1_0_20170117195420803.jpg.chip.jpg,blur
100_1_0_20170119212053665.jpg.chip.jpg,data\aligned\100_1_0_20170119212053665.jpg.chip.jpg,blur
100_1_2_20170105174847679.jpg.chip.jpg,data\aligned\100_1_2_20170105174847679.jpg.chip.jpg,blur
100_1_2_20170112213615815.jpg.chip.jpg,data\aligned\100_1_2_20170112213615815.jpg.chip.jpg,watermark
101_1_2_20170105174739309.jpg.chip.jpg,data\aligned\101_1_2_20170105174739309.jpg.chip.jpg,blur
105_1_0_20170112213001988.jpg.chip.jpg,data\aligned\105_1_0_20170112213001988.jpg.chip.jpg,blur
105_1_0_20170112213021902.jpg.chip.jpg,data\aligned\105_1_0_20170112213021902.jpg.chip.jpg,blur
105_1_0_20170112213507183.jpg.chip.jpg,data\aligned\105_1_0_20170112213507183.jpg.chip.jpg,watermark
110_1_1_20170110155201038.jpg.chip.jpg,data\aligned\110_1_1_20170110155201038.jpg.chip.jpg,watermark
110_1_3_20170110155139762.jpg.chip.jpg,data\aligned\110_1_3_20170110155139762.jpg.chip.jpg,watermark
111_1_0_20170120134646399.jpg.chip.jpg,data\aligned\111_1_0_20170120134646399.jpg.chip.jpg,blur
115_1_0_20170120134725990.jpg.chip.jpg,data\aligned\115_1_0_20170120134725990.jpg.chip.jpg,blur
115_1_0_20170120134725991.jpg.chip.jpg,data\aligned\115_1_0_20170120134725991.jpg.chip.jpg,blur
115_1_1_20170112213257263.jpg.chip.jpg,data\aligned\115_1_1_20170112213257263.jpg.chip.jpg,blur
116_1_0_20170120134921760.jpg.chip.jpg,data\aligned\116_1_0_20170120134921760.jpg.chip.jpg,blur
60_0_0_20170103182716210.jpg.chip.jpg,data\aligned\60_0_0_20170103182716210.jpg.chip.jpg,blur
60_0_0_20170103182814970.jpg.chip.jpg,data\aligned\60_0_0_20170103182814970.jpg.chip.jpg,blur
60_0_0_20170104170240505.jpg.chip.jpg,data\aligned\60_0_0_20170104170240505.jpg.chip.jpg,blur
60_0_0_20170104184725621.jpg.chip.jpg,data\aligned\60_0_0_20170104184725621.jpg.chip.jpg,blur
60_0_0_20170104184751214.jpg.chip.jpg,data\aligned\60_0_0_20170104184751214.jpg.chip.jpg,blur
60_0_0_20170104185423670.jpg.chip.jpg,data\aligned\60_0_0_20170104185423670.jpg.chip.jpg,blur
60_0_0_20170104185553854.jpg.chip.jpg,data\aligned\60_0_0_20170104185553854.jpg.chip.jpg,blur
60_0_0_20170104205856564.jpg.chip.jpg,data\aligned\60_0_0_20170104205856564.jpg.chip.jpg,blur
60_0_0_20170104211850356.jpg.chip.jpg,data\aligned\60_0_0_20170104211850356.jpg.chip.jpg,blur
60_0_0_20170104212114820.jpg.chip.jpg,data\aligned\60_0_0_20170104212114820.jpg.chip.jpg,blur
60_0_0_20170104212556604.jpg.chip.jpg,data\aligned\60_0_0_20170104212556604.jpg.chip.jpg,blur
60_0_0_20170104212943692.jpg.chip.jpg,data\aligned\60_0_0_20170104212943692.jpg.chip.jpg,blur
60_0_0_20170104213108966.jpg.chip.jpg,data\aligned\60_0_0_20170104213108966.jpg.chip.jpg,blur
